player_id,player_name,first_name,last_name,nation,club,club_code,dob
82561439,Max Aarons,Max,Aarons,ENG,Bournemouth,BOU,2000
48995089,Joshua Acheampong,Joshua,Acheampong,ENG,Chelsea,CHE,2006
49599063,Tyler Adams,Tyler,Adams,USA,Bournemouth,BOU,1999
35798828,Tosin Adarabioyo,Tosin,Adarabioyo,ENG,Chelsea,CHE,1997
61593319,Simon Adingra,Simon,Adingra,CIV,Brighton,BHA,2002
32176104,Emmanuel Agbadou,Emmanuel,Agbadou,CIV,Wolves,WOL,1997
86427659,Asher Agbinone,Asher,Agbinone,ENG,Crystal Palace,CRY,2005
14779834,Ola Aina,Ola,Aina,NGA,Nott'ham Forest,NFO,1996
29309455,Rayan Aït-Nouri,Rayan,Aït-Nouri,ALG,Wolves,WOL,2001
48808520,Kristoffer Ajer,Kristoffer,Ajer,NOR,Brentford,BRE,1998
26111862,Manuel Akanji,Manuel,Akanji,SUI,Manchester City,MCI,1995
25597535,Nathan Aké,Nathan,Aké,NED,Manchester City,MCI,1995
21528203,Carlos Alcaraz,Carlos,Alcaraz,ARG,Southampton,SOU,2002
39692353,Trent Alexander-Arnold,Trent,Alexander-Arnold,ENG,Liverpool,LIV,1998
92161059,Alisson,Alisson,Alisson,BRA,Liverpool,LIV,1992
67690958,Miguel Almirón,Miguel,Almirón,PAR,Newcastle Utd,NEW,1994
92356610,Olabade Aluko,Olabade,Aluko,NAN,Leicester City,LEI,
50023423,Edson Álvarez,Edson,Álvarez,MEX,West Ham,WHU,1997
66469685,Will Alves,Will,Alves,ENG,Leicester City,LEI,2005
87272459,Harry Amass,Harry,Amass,ENG,Manchester Utd,MUN,2007
17960960,Samuel Amo-Ameyaw,Samuel,Amo-Ameyaw,ENG,Southampton,SOU,2006
40143153,Mathis Amougou,Mathis,Amougou,FRA,Chelsea,CHE,2006
79550621,Joachim Andersen,Joachim,Andersen,DEN,Crystal Palace,CRY,1996
85081041,Elliot Anderson,Elliot,Anderson,ENG,Nott'ham Forest,NFO,2002
355223,André,André,André,BRA,Wolves,WOL,2001
44978694,Michail Antonio,Michail,Antonio,JAM,West Ham,WHU,1990
70265318,Antony,Antony,Antony,BRA,Manchester Utd,MUN,2000
78486795,Julian Araujo,Julian,Araujo,MEX,Bournemouth,BOU,2001
43829995,Cameron Archer,Cameron,Archer,ENG,Southampton,SOU,2001
64941757,Alphonse Areola,Alphonse,Areola,FRA,West Ham,WHU,1993
82738801,Joe Aribo,Joe,Aribo,NGA,Southampton,SOU,1996
73879059,Adam Armstrong,Adam,Armstrong,ENG,Southampton,SOU,1997
75474480,Harrison Armstrong,Harrison,Armstrong,ENG,Everton,EVE,2007
77373841,Kepa Arrizabalaga,Kepa,Arrizabalaga,ESP,Bournemouth,BOU,1994
96501359,Marco Asensio,Marco,Asensio,ESP,Aston Villa,AVL,1996
50045932,Brandon Austin,Brandon,Austin,ENG,Tottenham,TOT,1999
72347520,Taiwo Awoniyi,Taiwo,Awoniyi,NGA,Nott'ham Forest,NFO,1997
80587889,Yasin Ayari,Yasin,Ayari,SWE,Brighton,BHA,2003
59772975,Jordan Ayew,Jordan,Ayew,GHA,Crystal Palace,CRY,1991
1551439,Benoît Badiashile,Benoît,Badiashile,FRA,Chelsea,CHE,2001
38685717,Leon Bailey,Leon,Bailey,JAM,Aston Villa,AVL,1997
63419920,Carlos Baleba,Carlos,Baleba,CMR,Brighton,BHA,2004
23190291,Ross Barkley,Ross,Barkley,ENG,Aston Villa,AVL,1993
84502011,Harvey Barnes,Harvey,Barnes,ENG,Newcastle Utd,NEW,1997
96063452,Calvin Bassey,Calvin,Bassey,NGA,Fulham,FUL,1999
67547667,Altay Bayındır,Altay,Bayındır,TUR,Manchester Utd,MUN,1998
70193253,Jan Bednarek,Jan,Bednarek,POL,Southampton,SOU,1996
43504615,Armel Bella Kotchap,Armel,Kotchap,GER,Southampton,SOU,2001
54575683,Jean-Ricner Bellegarde,Jean-Ricner,Bellegarde,FRA,Wolves,WOL,1998
56480563,Rodrigo Bentancur,Rodrigo,Bentancur,URU,Tottenham,TOT,1997
95235916,Daniel Bentley,Daniel,Bentley,ENG,Wolves,WOL,1993
